Entry,Identity,M+.,[M+H]+,CCS (Å2),SourceCCS,Retention time (min),SourceRT,Retention index,Type
1,Resorcinol,110.0363,111.0441,118.7,Measured,10.14,Measured,386866,Fiehn
2,Nitrobenzene,123.0315,124.0393,119.68,Predicted,7.81,Measured,264072,Fiehn
3,Salicyclic acid,138.0312,139.039,120.05,Measured,12.25,Measured,480699,Fiehn
4,4-tert-Butylphenol,150.104,151.1118,136.91,Predicted,10.63,Measured,409571,Fiehn
5,Paracetamol,151.0628,152.0706,130.81,Measured,13.62,Measured,538533,Fiehn
6,"cis-Cyclohexane-1,2-dicarboxylic anhydride",154.0625,155.0703,137.36,Predicted,8.73,Predicted,1162,Kovatas
7,"trans-Cyclohexane-1,2-dicarboxylic anhydride",154.0625,155.0703,137.23,Predicted,8.73,Predicted,1162,Kovatas
8,Monochloronaphthalene 1,162.0231,163.0309,124.86,Predicted,9.32,Measured,347218,Fiehn
9,Monochloronaphthalene 2,162.0231,163.0309,125.42,Predicted,9.67,Measured,364643,Fiehn
10,"p-(1,1-Dimethylpropyl)phenol",164.1196,165.1274,140.09,Predicted,11.27,Predicted,1389,Kovatas
11,Hexahydro-3-methylphthalic anhydride,168.0781,169.0859,140.18,Predicted,9.09,Predicted,1196,Kovatas
12,Hexahydro-4-methylphthalic anhydride,168.0781,169.0859,141.29,Predicted,9.44,Predicted,1228,Kovatas
13,Hexahydro-1-methylphthalic anhydride,168.0781,169.0859,141.43,Predicted,10.67,Predicted,1337,Kovatas
14,Acetylsalicylic acid,180.0418,181.0496,129.42,Predicted,12.4,Measured,487111,Fiehn
15,"1,7-Dimethylxanthine",180.0642,181.072,132.4,Measured,17.41,Measured,693338,Fiehn
16,Triethyl phosphate,182.0703,183.0781,132.63,Measured,7.62,Measured,252057,Fiehn
17,"3-Ethyl-2-methyl-2-(3-methylbutyl)-1,3-oxazolidine",185.1775,186.1853,145.05,Predicted,10.3,Predicted,1305,Kovatas
18,"1,2,4-Benzenetricarboxylic anhydride",192.0054,193.0132,130.86,Measured,13.97,Predicted,1622,Kovatas
19,"4-(2,2-Dimethylpentan-3-yl)phenol",192.1509,193.1587,149.48,Predicted,12.76,Predicted,1517,Kovatas
20,"4-(2,4-Dimethylpentan-2-yl)phenol",192.1509,193.1587,147.57,Predicted,12.79,Predicted,1519,Kovatas
21,4-(5-Methylhexan-3-yl)phenol,192.1509,193.1587,149.18,Predicted,12.9,Predicted,1529,Kovatas
22,"4-(4,4-Dimethylpentan-2-yl)phenol",192.1509,193.1587,147.41,Predicted,13.02,Predicted,1539,Kovatas
23,"4-(2,3,3-Trimethylbutan-2-yl)phenol",192.1509,193.1587,147.04,Predicted,13.1,Predicted,1546,Kovatas
24,"4-(2,3-Dimethylpentan-2-yl)phenol",192.1509,193.1587,147.27,Predicted,13.2,Predicted,1555,Kovatas
25,4-(2-Methylhexan-2-yl)phenol,192.1509,193.1587,150.11,Predicted,13.23,Predicted,1557,Kovatas
26,4-(5-Methylhexan-2-yl)phenol,192.1509,193.1587,147.13,Predicted,13.24,Predicted,1558,Kovatas
27,4-(Heptan-4-yl)phenol,192.1509,193.1587,149.78,Predicted,13.27,Predicted,1561,Kovatas
28,"4-(2,4-Dimethylpentan-3-yl)phenol",192.1509,193.1587,148.38,Predicted,13.34,Predicted,1567,Kovatas
29,4-(4-Methylhexan-2-yl)phenol,192.1509,193.1587,144.3,Predicted,13.35,Predicted,1568,Kovatas
30,4-(Heptan-3-yl)phenol,192.1509,193.1587,149.8,Predicted,13.43,Predicted,1575,Kovatas
31,4-(Heptan-2-yl)phenol,192.1509,193.1587,147.09,Predicted,13.48,Predicted,1579,Kovatas
32,"4-(1-Ethyl-1,2-dimethylpropyl)phenol",192.1509,193.1587,148.45,Predicted,13.55,Predicted,1585,Kovatas
33,4-(3-Ethylpentan-3-yl)phenol,192.1509,193.1587,151.27,Predicted,13.55,Predicted,1585,Kovatas
34,4-(3-Methylhexan-3-yl)phenol,192.1509,193.1587,147.88,Predicted,13.64,Predicted,1593,Kovatas
35,"4-(3,3-Dimethylpentan-2-yl)phenol",192.1509,193.1587,147.33,Predicted,13.65,Predicted,1594,Kovatas
36,4-(3-Methylhexan-2-yl)phenol,192.1509,193.1587,146.02,Predicted,13.66,Predicted,1595,Kovatas
37,4-(3-Ethylpentyl)phenol,192.1509,193.1587,150.29,Predicted,13.98,Predicted,1623,Kovatas
38,4-(5-Methylhexyl)phenol,192.1509,193.1587,161.79,Predicted,14.07,Predicted,1631,Kovatas
39,4-Heptylphenol,192.1509,193.1587,149.18,Predicted,14.47,Predicted,1666,Kovatas
40,Dimethyl phthalate,194.0574,195.0652,135.45,Predicted,9.01,Measured,331330,Fiehn
41,Isobutyl 4-hydroxybenzoate,194.0938,195.1016,146,Predicted,12.91,Measured,508741,Fiehn
42,Butylparaben,194.0938,195.1016,148.06,Measured,13.53,Measured,534450,Fiehn
43,Dichloronaphthalene 4,195.9842,196.992,136.97,Predicted,13.41,Predicted,1573,Kovatas
44,Dichloronaphthalene 3,195.9842,196.992,135.84,Predicted,13.41,Predicted,1573,Kovatas
45,Dichloronaphthalene 6,195.9842,196.992,130.84,Predicted,13.64,Predicted,1593,Kovatas
46,Dichloronaphthalene 7,195.9842,196.992,131.73,Predicted,13.77,Predicted,1604,Kovatas
47,Dichloronaphthalene 8,195.9842,196.992,131.65,Predicted,13.89,Predicted,1615,Kovatas
48,Dichloronaphthalene 10,195.9842,196.992,136.29,Predicted,13.93,Predicted,1618,Kovatas
49,Dichloronaphthalene 9,195.9842,196.992,131.14,Predicted,13.94,Predicted,1619,Kovatas
50,Dichloronaphthalene 5,195.9842,196.992,131.54,Predicted,13.98,Predicted,1623,Kovatas
51,Dichloronaphthalene 11,195.9842,196.992,132.34,Predicted,14.2,Predicted,1642,Kovatas
52,Dichloronaphthalene 12,195.9842,196.992,132.78,Predicted,14.21,Predicted,1643,Kovatas
53,4-Aminoazobenzene,197.0948,198.1026,144.19,Measured,18.57,Predicted,2062,Kovatas
54,"2,2’-Methylenebisphenol",200.0832,201.091,139.69,Predicted,15.65,Predicted,1773,Kovatas
55,"4,4’-Methylenebisphenol",200.0832,201.091,153.05,Measured,18.24,Predicted,2027,Kovatas
56,2-Chlorodiphenyl ether,204.0337,205.0415,141.09,Predicted,13,Predicted,474931,Fiehn
57,3-Chlorodiphenyl ether,204.0337,205.0415,141.73,Predicted,13.7,Predicted,1537,Kovatas
58,4-Chlorodiphenyl ether,204.0337,205.0415,143.39,Predicted,12.11,Measured,1598,Kovatas
59,(2S)-3-(4-tert-Butylphenyl)-2-methylpropanal,204.1509,205.1587,147.44,Predicted,13.09,Predicted,1500,Kovatas
60,(2R)-3-(4-tert-Butylphenyl)-2-methylpropanal,204.1509,205.1587,147.68,Predicted,13.09,Predicted,1545,Kovatas
61,2-(4-tert-Butylbenzyl)propionaldehyde,204.1509,205.1587,146.38,Predicted,12.57,Measured,1545,Kovatas
62,Ibuprofen,206.1302,207.138,144,Measured,13.97,Measured,1622,Kovatas
63,Clofibric acid,214.0392,215.047,146.6,Measured,12.54,Measured,493311,Fiehn
64,Isononylphenol,220.1822,221.19,156.56,Predicted,14.81,Predicted,1697,Kovatas
65,"4-(1,1,5-Trimethylhexyl)phenol",220.1822,221.19,158.86,Predicted,15.14,Predicted,1727,Kovatas
66,"4-(1-Ethyl-1,4-dimethylpentyl)phenol",220.1822,221.19,157.95,Predicted,15.17,Predicted,1729,Kovatas
67,"4-(1-Ethyl-1,3-dimethylpentyl)phenol",220.1822,221.19,153.32,Predicted,15.22,Predicted,1734,Kovatas
68,Nonylphenol,220.1822,221.19,155.82,Predicted,15.23,Predicted,1735,Kovatas
69,4-(3-Ethylheptan-2-yl)phenol,220.1822,221.19,156.17,Predicted,15.36,Predicted,1747,Kovatas
70,"p-(1,1-Dimethylheptyl)phenol",220.1822,221.19,158.81,Predicted,15.44,Predicted,1754,Kovatas
71,4-(1-Ethyl-1-methylhexyl)phenol,220.1822,221.19,157.29,Predicted,15.68,Predicted,1776,Kovatas
72,p-(1-Methyloctyl)phenol,220.1822,221.19,155.75,Predicted,15.81,Predicted,1788,Kovatas
73,p-Isononylphenol,220.1822,221.19,158.19,Predicted,16.41,Predicted,1845,Kovatas
74,Diethyl phthalate,222.0887,223.0965,157.69,Predicted,11.34,Measured,441329,Fiehn
75,Hydroxy-ibuprofen,222.1251,223.1329,146.67,Predicted,15.77,Predicted,1785,Kovatas
76,Bis(2-(2-methoxyethoxy)ethyl)ether,222.1462,223.154,152.1,Predicted,12.23,Predicted,1471,Kovatas
77,Benzophenone-3,228.0781,229.0859,146.43,Measured,15.7,Measured,623675,Fiehn
